Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity ,Superficial Liquid Velocity ,Liquid Holdup 
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.02622722075,0.004904714142,0.2019263456
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.03775815402,0.004904714142,0.1939943343
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.04951518401,0.004904714142,0.1916147309
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.06149831073,0.004904714142,0.1852691218
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.07415972765,0.004904714142,0.1809065156
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.08727333803,0.004904714142,0.1753541076
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.09857817456,0.004904714142,0.1698016997
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.1078481405,0.004904714142,0.1674220963
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.01424409403,0.006138415246,0.2273087819
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.02012260903,0.006138415246,0.2122379603
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.02645331749,0.006138415246,0.2082719547
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.03798425075,0.006138415246,0.2062889518
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.04951518401,0.006138415246,0.1995467422
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.06149831073,0.006138415246,0.1916147309
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.07415972765,0.006138415246,0.1908215297
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.08727333803,0.006138415246,0.1852691218
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.09857817456,0.006138415246,0.180509915
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.01424409403,0.003681043129,0.2173937677
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.02012260903,0.003681043129,0.2007365439
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.02622722075,0.003681043129,0.192407932
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.03798425075,0.003681043129,0.1801133144
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.04951518401,0.003681043129,0.1785269122
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.06149831073,0.003681043129,0.1709915014
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.07415972765,0.003681043129,0.1698016997
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.08727333803,0.003681043129,0.1638526912
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.09857817456,0.003681043129,0.1610764873
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.1076220438,0.003681043129,0.1555240793
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.01424409403,0.002447342026,0.1955807365
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.0198965123,0.002447342026,0.1852691218
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.02622722075,0.002447342026,0.1816997167
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.03798425075,0.002447342026,0.1757507082
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.04951518401,0.002447342026,0.1690084986
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.06149831073,0.002447342026,0.1630594901
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.07415972765,0.002447342026,0.156713881
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.08727333803,0.002447342026,0.1535410765
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.09835207783,0.002447342026,0.1452124646
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.1078481405,0.002447342026,0.1396600567
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.0140179973,0.001223671013,0.1773371105
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.0198965123,0.001223671013,0.168611898
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.02622722075,0.001223671013,0.1638526912
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.03798425075,0.001223671013,0.1598866856
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.04928908728,0.001223671013,0.1535410765
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.06149831073,0.001223671013,0.1499716714
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.07393363092,0.001223671013,0.1460056657
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.08727333803,0.001223671013,0.1408498584
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.09835207783,0.001223671013,0.1376770538
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.01435512367,0.006138415246,0.2672413793
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.02009717314,0.006138415246,0.2560344828
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.02628091873,0.006138415246,0.249137931
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.03798586572,0.006138415246,0.2422413793
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.04946996466,0.006138415246,0.2370689655
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.06161660777,0.006138415246,0.2327586207
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.07398409894,0.006138415246,0.2267241379
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.08723498233,0.006138415246,0.2224137931
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.09871908127,0.006138415246,0.2146551724
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.1077738516,0.006138415246,0.2034482759
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.01435512367,0.006138415246,0.2275862069
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.02009717314,0.006138415246,0.2129310345
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.02650176678,0.006138415246,0.2086206897
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.03798586572,0.006138415246,0.2068965517
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.04946996466,0.006138415246,0.199137931
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.06161660777,0.006138415246,0.1922413793
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.07398409894,0.006138415246,0.1922413793
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.08701413428,0.006138415246,0.1862068966
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.42,0.09849823322,0.006138415246,0.1810344828
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.01435512367,0.006138415246,0.2077586207
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.02009717314,0.006138415246,0.200862069
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.02628091873,0.006138415246,0.2
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.03798586572,0.006138415246,0.1931034483
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.04946996466,0.006138415246,0.1887931034
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.06161660777,0.006138415246,0.1836206897
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.07398409894,0.006138415246,0.1801724138
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.08723498233,0.006138415246,0.1767241379
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.09849823322,0.006138415246,0.1715517241
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.1077738516,0.006138415246,0.1663793103
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.01440872757,0.006138415246,0.2657894737
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.02041236406,0.006138415246,0.2547368421
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.02671618237,0.006138415246,0.2484210526
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.0381230917,0.006138415246,0.2415789474
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.04953000103,0.006138415246,0.2363157895
