Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity,Superficial Liquid  Velocity,Experimental Liquid Holdup
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.03,0.003988222004,0.1755632512
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.03,0.005988259042,0.1754002852
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.03,0.007984073779,0.193815441
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.03,0.009881220023,0.2063719699
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.03,0.01192859127,0.2179384803
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.03,0.0138770718,0.2246241597
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.03,0.015826219,0.2283764514
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.09,0.003991110946,0.1628519047
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.09,0.006037815515,0.1773518028
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.09,0.00803496361,0.1899001833
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.09,0.009932554307,0.2005011204
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.09,0.01193170244,0.204249338
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.09,0.01393085057,0.2079975555
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.09,0.01593044316,0.2097901813
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.18,0.004041334099,0.1618700346
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.18,0.006038926647,0.1724628234
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.18,0.008037185874,0.1801222245
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.18,0.009986777533,0.1819189244
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.18,0.01198592567,0.185667142
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.18,0.01393507287,0.1894194337
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.18,0.01593444323,0.1921898554
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.27,0.004042667457,0.1560032593
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.27,0.005891146132,0.162697087
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.27,0.007941406322,0.161552251
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.27,0.009890331302,0.1662823386
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.14,2,0.0047,0.36,0.27,0.01193948036,0.170026482
